,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
0,Soloneshnoye,RU,51.65,52.01,66,80,5.95
1,Buta,CD,2.79,87.11,71,12,2.93
2,Mataura,NZ,-46.19,46.0,77,8,4.72
3,Yellowknife,CA,62.45,1.47,70,5,8.05
4,Bluff,AU,-23.58,80.45,41,44,10.65
5,Atuona,PF,-9.8,83.33,96,92,15.68
6,Vaini,IN,15.34,95.93,32,0,6.4
7,Puerto del Rosario,ES,28.5,59.0,67,20,4.7
8,Carnarvon,ZA,-30.97,62.18,48,0,14.34
9,Rikitea,PF,-23.12,76.22,100,32,16.69
10,Kerman,IR,30.29,71.6,62,0,4.7
11,Victoria,BN,5.28,87.44,70,75,5.82
12,Liku,ID,-0.73,84.95,76,12,3.38
13,Ilulissat,GL,69.22,26.6,45,20,19.46
14,Busselton,AU,-33.64,70.3,24,0,7.96
15,Rikitea,PF,-23.12,76.22,100,32,16.69
16,Khatanga,RU,71.98,21.32,91,68,12.21
17,Mataura,NZ,-46.19,46.0,77,8,4.72
18,Kodiak,US,39.95,45.18,93,40,5.82
19,Salinopolis,BR,-0.61,79.01,100,92,5.39
20,Mehamn,NO,71.03,30.2,68,40,18.34
21,Chingirlau,KZ,51.09,49.31,100,32,4.5
22,Hilo,US,19.71,68.77,78,90,3.36
23,Jamestown,AU,-33.21,81.98,23,56,13.67
24,Kapaa,US,22.08,68.36,73,40,6.29
25,Bambous Virieux,MU,-20.34,84.65,74,75,11.41
26,Vaini,IN,15.34,95.93,32,0,6.4
27,Ushuaia,AR,-54.81,37.4,100,75,12.75
28,Marabba,SD,12.35,97.37,14,0,13.78
29,Flin Flon,CA,54.77,18.62,68,56,5.17
30,Ancud,CL,-41.87,44.6,100,90,3.36
31,Taoudenni,ML,22.68,73.61,30,24,10.2
32,Nikolskoye,RU,59.7,47.97,45,0,4.47
33,Grindavik,IS,63.84,34.65,100,75,5.82
34,Iquitos,PE,-3.75,77.0,94,40,3.36
35,Muyezerskiy,RU,63.93,34.91,91,88,6.85
36,Ketchikan,US,55.34,45.82,93,90,12.75
37,Igrim,RU,63.19,46.52,53,32,12.21
38,Busselton,AU,-33.64,70.3,24,0,7.96
39,Jega,NG,12.22,95.39,28,0,6.96
40,Isangel,VU,-19.55,75.14,100,92,9.42
41,Ushuaia,AR,-54.81,37.4,100,75,12.75
42,Vaini,IN,15.34,95.93,32,0,6.4
43,Mataura,NZ,-46.19,46.0,77,8,4.72
44,Dunedin,NZ,-45.87,48.0,73,56,2.71
45,Talara,PE,-4.58,68.21,87,0,2.59
46,Norman Wells,CA,65.28,-4.01,76,5,2.24
47,Iquique,CL,-20.22,68.0,82,20,3.36
48,Conceicao do Mato Dentro,BR,-19.04,68.12,89,44,2.71
49,Rikitea,PF,-23.12,76.22,100,32,16.69
50,Bambous Virieux,MU,-20.34,84.65,74,75,11.41
51,San Patricio,PY,-26.98,64.79,99,92,8.75
52,Muroto,JP,33.37,64.4,48,75,4.7
53,Cheremukhovo,RU,56.23,38.42,86,68,6.51
54,Cape Town,ZA,-33.93,63.52,63,20,16.11
55,Lavrentiya,RU,65.58,13.76,74,0,9.42
56,Ishigaki,JP,24.34,71.6,88,75,9.17
57,Punta Arenas,CL,-53.16,48.09,76,75,20.8
58,Mar del Plata,AR,-46.43,53.27,68,24,17.36
59,Mataura,NZ,-46.19,46.0,77,8,4.72
60,Buchanan,LR,5.88,78.38,100,64,5.61
61,Isabela,PH,10.2,88.37,54,48,5.39
62,Hasaki,JP,35.73,66.85,34,20,26.4
63,Jamestown,AU,-33.21,81.98,23,56,13.67
64,Bolobo,CD,-2.17,78.74,86,44,3.83
65,Vega de Alatorre,MX,20.03,64.79,86,0,2.59
66,Sungaipenuh,ID,-2.08,73.52,85,68,0.92
67,Vaini,IN,15.34,95.93,32,0,6.4
68,Mar del Plata,AR,-46.43,53.27,68,24,17.36
69,Butaritari,KI,3.07,84.41,98,92,13.78
70,Muroto,JP,33.37,64.4,48,75,4.7
71,New Norfolk,AU,-42.78,65.64,55,75,10.29
72,Atbasar,KZ,51.81,46.97,84,64,10.42
73,Punta Arenas,CL,-53.16,48.09,76,75,20.8
74,New Norfolk,AU,-42.78,65.64,55,75,10.29
75,Leiyang,CN,26.42,68.93,91,8,4.38
76,Purpe,RU,64.48,36.71,91,44,18.48
77,Talara,PE,-4.58,68.21,87,0,2.59
78,Kapaa,US,22.08,68.36,73,40,6.29
79,Tasiilaq,GL,65.61,23.0,73,44,5.82
80,Bontang,ID,0.12,85.22,88,0,5.84
81,Harper,US,30.3,57.27,71,1,6.96
82,Kodiak,US,39.95,45.18,93,40,5.82
83,Brest,BY,52.09,44.6,57,75,8.95
84,Chokurdakh,RU,70.62,11.24,77,24,2.71
85,Albany,US,42.65,26.49,42,40,2.26
86,Pritzwalk,DE,53.15,51.13,52,12,4.0
87,Chokurdakh,RU,70.62,11.24,77,24,2.71
88,Merauke,ID,-8.49,79.37,99,92,6.62
89,Kahului,US,20.89,68.94,69,20,5.82
90,Rikitea,PF,-23.12,76.22,100,32,16.69
91,Waipawa,NZ,-39.94,51.01,91,92,1.99
92,Tiarei,PF,-17.53,80.29,78,75,13.87
93,Hilo,US,19.71,68.77,78,90,3.36
94,Mataura,NZ,-46.19,46.0,77,8,4.72
95,Jamestown,AU,-33.21,81.98,23,56,13.67
96,Svetlaya,RU,46.54,31.31,98,80,4.61
97,Tuktoyaktuk,CA,69.44,1.61,90,36,3.94
98,Cape Town,ZA,-33.93,63.52,63,20,16.11
99,Serebryansk,KZ,49.68,49.49,96,92,2.04
100,Sayyan,YE,15.17,76.76,38,48,4.27
101,Vaini,IN,15.34,95.93,32,0,6.4
102,Albany,US,42.65,26.49,42,40,2.26
103,Kolyshley,RU,52.7,33.29,96,92,9.42
104,Punta Arenas,CL,-53.16,48.09,76,75,20.8
105,Ushuaia,AR,-54.81,37.4,100,75,12.75
106,Poninka,UA,50.19,50.84,48,32,15.68
107,Port Elizabeth,US,39.31,46.98,42,75,11.41
108,Castro,CL,-42.48,44.6,100,90,3.36
109,Calvinia,ZA,-31.47,53.6,76,20,10.29
110,Dikson,RU,73.51,20.24,100,44,8.86
111,Pacific Grove,US,36.62,52.2,82,90,5.82
112,Atuona,PF,-9.8,83.33,96,92,15.68
113,Mani,GR,41.41,54.89,64,0,4.94
114,Vardo,US,39.62,48.88,61,90,3.36
115,Mataura,NZ,-46.19,46.0,77,8,4.72
116,Bethel,US,60.79,27.95,68,1,16.11
117,Dikson,RU,73.51,20.24,100,44,8.86
118,Ushuaia,AR,-54.81,37.4,100,75,12.75
119,Narsaq,GL,60.91,35.6,34,88,51.67
120,Karema,TZ,-6.82,79.01,68,24,5.39
121,Deputatskiy,RU,69.3,18.44,75,56,3.04
122,Ushuaia,AR,-54.81,37.4,100,75,12.75
123,Bethel,US,60.79,27.95,68,1,16.11
124,Vaini,IN,15.34,95.93,32,0,6.4
125,Senneterre,CA,48.39,5.0,84,1,2.24
126,Tura,IN,25.52,80.72,67,80,4.61
127,Kajiado,KE,-1.85,70.7,73,75,8.05
128,Pauini,BR,-7.71,77.12,92,88,2.48
129,Vysokogornyy,RU,50.1,27.17,70,80,5.06
130,Constitucion,MX,23.99,45.17,49,24,6.4
131,Pochutla,MX,15.74,78.01,79,32,8.19
132,Aragarcas,BR,-15.9,71.18,92,48,2.93
133,Vaini,IN,15.34,95.93,32,0,6.4
134,Ushuaia,AR,-54.81,37.4,100,75,12.75
135,New Norfolk,AU,-42.78,65.64,55,75,10.29
136,Egvekinot,RU,66.32,5.39,71,12,2.71
137,Tazovskiy,RU,67.47,32.48,95,88,16.24
138,Carutapera,BR,-1.2,75.95,99,100,1.59
139,Presidencia Roque Saenz Pena,AR,-26.79,60.83,73,68,18.03
140,Vaini,IN,15.34,95.93,32,0,6.4
141,Cabo Rojo,PR,18.09,72.14,82,0,11.43
142,Hasaki,JP,35.73,66.85,34,20,26.4
143,Albany,US,42.65,26.49,42,40,2.26
144,Saint George,GR,39.45,54.32,76,40,5.82
145,Albany,US,42.65,26.49,42,40,2.26
146,San Carlos,VE,9.66,70.64,78,0,6.62
147,Saint-Philippe,CA,45.36,22.55,53,1,4.7
148,Yellowknife,CA,62.45,1.47,70,5,8.05
149,Victoria,BN,5.28,87.44,70,75,5.82
150,Tuktoyaktuk,CA,69.44,1.61,90,36,3.94
151,Riyadh,SA,24.63,80.6,34,40,12.75
152,Antofagasta,CL,-23.65,62.6,88,75,5.82
153,Mataura,NZ,-46.19,46.0,77,8,4.72
154,Chuy,UY,-33.69,65.96,89,20,26.08
155,Awbari,LY,26.59,75.14,41,92,9.19
156,Ushuaia,AR,-54.81,37.4,100,75,12.75
157,Butaritari,KI,3.07,84.41,98,92,13.78
158,Te Anau,NZ,-45.41,32.93,85,12,2.37
159,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
160,Biltine,TD,14.53,97.73,13,0,14.0
161,Yellowknife,CA,62.45,1.47,70,5,8.05
162,Muros,ES,42.77,42.24,93,75,8.05
163,Pevek,RU,69.7,8.9,85,48,2.59
164,Hobart,AU,-42.88,65.64,55,75,10.29
165,East London,ZA,-33.02,60.8,100,90,11.41
166,Tuktoyaktuk,CA,69.44,1.61,90,36,3.94
167,Nanortalik,GL,60.14,30.86,92,92,46.44
168,Ancud,CL,-41.87,44.6,100,90,3.36
169,Albany,US,42.65,26.49,42,40,2.26
170,Rikitea,PF,-23.12,76.22,100,32,16.69
171,Qaanaaq,GL,77.48,0.44,71,24,7.63
172,Tiksi,RU,71.64,30.14,68,8,3.15
173,Rikitea,PF,-23.12,76.22,100,32,16.69
174,Ushuaia,AR,-54.81,37.4,100,75,12.75
175,Tiksi,RU,71.64,30.14,68,8,3.15
176,Paracuru,BR,-3.41,75.54,88,75,4.7
177,Labuhan,ID,-2.54,81.44,76,92,3.04
178,Arraial do Cabo,BR,-22.97,77.39,93,0,18.25
179,Saskylakh,RU,71.97,18.62,83,20,7.18
180,Ushuaia,AR,-54.81,37.4,100,75,12.75
181,Topalu,RO,44.54,52.5,61,75,18.34
182,Hilo,US,19.71,68.77,78,90,3.36
183,Owatonna,US,44.08,36.23,93,90,10.29
184,Concepcion,CO,9.56,78.56,67,44,2.37
185,Fortuna,ES,38.18,55.17,81,0,1.12
186,Yaan,NG,7.38,87.65,70,0,12.44
187,Digha,IN,21.62,81.98,95,48,16.91
188,Jamestown,AU,-33.21,81.98,23,56,13.67
189,Tasiilaq,GL,65.61,23.0,73,44,5.82
190,Cockburn Town,TC,21.46,78.92,96,56,18.14
191,Tonekabon,IR,36.82,59.0,87,75,6.93
192,Laguna,MX,27.52,58.58,82,8,2.37
193,Naze,NG,5.43,75.2,94,40,2.24
194,Hithadhoo,MV,-0.6,84.41,100,0,5.39
195,Barrow,AR,-38.31,51.92,74,0,8.3
196,Qaanaaq,GL,77.48,0.44,71,24,7.63
197,Alofi,NU,-19.06,78.8,88,76,6.93
198,Rikitea,PF,-23.12,76.22,100,32,16.69
199,Yanam,IN,16.73,95.0,50,12,10.29
200,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
201,Kijang,KR,35.24,68.0,42,0,17.22
202,Carutapera,BR,-1.2,75.95,99,100,1.59
203,Port Keats,AU,-14.25,86.57,75,20,15.79
204,Rikitea,PF,-23.12,76.22,100,32,16.69
205,Rome,IT,41.89,50.09,100,0,1.12
206,Butaritari,KI,3.07,84.41,98,92,13.78
207,Longyearbyen,NO,78.22,26.6,79,75,26.4
208,Punta Arenas,CL,-53.16,48.09,76,75,20.8
209,Pinheiro Machado,BR,-31.58,60.29,91,92,16.24
210,Bluff,AU,-23.58,80.45,41,44,10.65
211,Ponta do Sol,BR,-20.63,65.06,90,56,3.15
212,Ushuaia,AR,-54.81,37.4,100,75,12.75
213,Pacifica,US,37.61,53.37,87,90,8.05
214,Cape Town,ZA,-33.93,63.52,63,20,16.11
215,Arraial do Cabo,BR,-22.97,77.39,93,0,18.25
216,Pisco,PE,-13.71,68.0,88,0,5.82
217,Cidreira,BR,-30.17,71.45,98,100,13.78
218,Rikitea,PF,-23.12,76.22,100,32,16.69
219,Busselton,AU,-33.64,70.3,24,0,7.96
220,Tuatapere,NZ,-46.13,46.0,77,8,8.75
221,Constitucion,MX,23.99,45.17,49,24,6.4
222,Sao Joao da Barra,BR,-21.64,81.08,96,0,20.49
223,Saskylakh,RU,71.97,18.62,83,20,7.18
224,Butaritari,KI,3.07,84.41,98,92,13.78
225,Bredasdorp,ZA,-34.53,60.33,87,68,3.36
226,Georgetown,GY,6.8,77.39,73,24,6.17
227,Pitmedden,GB,57.34,43.5,87,40,9.17
228,Mataura,NZ,-46.19,46.0,77,8,4.72
229,Spirovo,RU,57.42,49.67,63,20,8.08
230,Richards Bay,ZA,-28.77,67.49,100,100,13.78
231,Tasiilaq,GL,65.61,23.0,73,44,5.82
232,Dapdap,PH,14.05,86.0,67,0,1.99
233,Saeby,DK,57.33,44.6,81,0,10.29
234,Ambilobe,MG,-13.19,86.12,89,24,2.71
235,Mataura,NZ,-46.19,46.0,77,8,4.72
236,Hasaki,JP,35.73,66.85,34,20,26.4
237,Carnarvon,ZA,-30.97,62.18,48,0,14.34
238,Qaanaaq,GL,77.48,0.44,71,24,7.63
239,Busselton,AU,-33.64,70.3,24,0,7.96
240,Hithadhoo,MV,-0.6,84.41,100,0,5.39
241,Albany,US,42.65,26.49,42,40,2.26
242,Muroto,JP,33.37,64.4,48,75,4.7
243,Hobart,AU,-42.88,65.64,55,75,10.29
244,Punta Arenas,CL,-53.16,48.09,76,75,20.8
245,Grootfontein,NA,-19.56,78.38,41,8,7.29
246,Ushuaia,AR,-54.81,37.4,100,75,12.75
247,Sibolga,ID,1.74,75.32,97,76,1.59
248,Ribeira Grande,PT,38.52,55.4,58,75,6.93
249,Sitka,US,37.17,46.99,91,12,8.75
250,Saint-Philippe,CA,45.36,22.55,53,1,4.7
251,Qaanaaq,GL,77.48,0.44,71,24,7.63
252,Ushuaia,AR,-54.81,37.4,100,75,12.75
253,Chokurdakh,RU,70.62,11.24,77,24,2.71
254,Vila,IT,45.18,47.84,66,0,2.24
255,Xuddur,SO,4.12,91.34,41,0,13.33
256,Shelburne,CA,44.08,27.21,85,1,12.66
257,Namatanai,PG,-3.66,82.34,100,48,2.59
258,Carnarvon,ZA,-30.97,62.18,48,0,14.34
259,Kapaa,US,22.08,68.36,73,40,6.29
260,Atuona,PF,-9.8,83.33,96,92,15.68
261,Xiaoshi,CN,30.59,69.29,60,76,5.17
262,Ushuaia,AR,-54.81,37.4,100,75,12.75
263,Kapaa,US,22.08,68.36,73,40,6.29
264,Ushuaia,AR,-54.81,37.4,100,75,12.75
265,Vera Cruz,BR,-22.22,73.97,78,64,6.06
266,Mataura,NZ,-46.19,46.0,77,8,4.72
267,San Patricio,PY,-26.98,64.79,99,92,8.75
268,Arraial do Cabo,BR,-22.97,77.39,93,0,18.25
269,Chokurdakh,RU,70.62,11.24,77,24,2.71
270,Ust-Nera,RU,64.57,19.34,83,32,1.92
271,Ponta do Sol,BR,-20.63,65.06,90,56,3.15
272,Vila Franca do Campo,PT,37.72,54.37,62,75,11.41
273,Tupik,RU,54.43,31.4,59,68,4.16
274,Baykit,RU,61.68,26.27,73,76,5.39
275,Wanning,AT,48.64,44.53,81,75,8.05
276,Ushuaia,AR,-54.81,37.4,100,75,12.75
277,Calimete,CU,22.53,71.6,94,32,3.36
278,Thompson,CA,55.74,8.6,92,5,5.82
279,Atuona,PF,-9.8,83.33,96,92,15.68
280,Hay River,CA,60.82,3.2,71,20,2.93
281,San Cristobal,EC,-0.39,51.6,93,75,2.24
282,Vila Franca do Campo,PT,37.72,54.37,62,75,11.41
283,Qaanaaq,GL,77.48,0.44,71,24,7.63
284,Isangel,VU,-19.55,75.14,100,92,9.42
285,Vilhena,BR,-12.74,72.08,94,80,2.93
286,Rikitea,PF,-23.12,76.22,100,32,16.69
287,Mataura,NZ,-46.19,46.0,77,8,4.72
288,Busselton,AU,-33.64,70.3,24,0,7.96
289,Mataura,NZ,-46.19,46.0,77,8,4.72
290,Jamestown,AU,-33.21,81.98,23,56,13.67
291,College Place,US,46.05,49.66,81,40,5.82
292,Port Hardy,CA,50.7,50.0,71,90,17.22
293,Hualmay,PE,-11.1,62.09,94,36,1.59
294,East London,ZA,-33.02,60.8,100,90,11.41
295,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
296,Srednekolymsk,RU,67.46,18.8,83,12,3.94
297,Mataura,NZ,-46.19,46.0,77,8,4.72
298,Qaanaaq,GL,77.48,0.44,71,24,7.63
299,Tuktoyaktuk,CA,69.44,1.61,90,36,3.94
300,Atuona,PF,-9.8,83.33,96,92,15.68
301,Sola,NO,58.89,54.52,50,0,12.75
302,Atuona,PF,-9.8,83.33,96,92,15.68
303,Yerbogachen,RU,61.28,29.15,66,88,5.28
304,Castro,CL,-42.48,44.6,100,90,3.36
305,Wanning,AT,48.64,44.53,81,75,8.05
306,Khandbari,NP,27.38,42.92,71,24,0.25
307,Qianguo,CN,45.12,44.99,48,0,12.44
308,Mataura,NZ,-46.19,46.0,77,8,4.72
309,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
310,Cape Town,ZA,-33.93,63.52,63,20,16.11
311,Rikitea,PF,-23.12,76.22,100,32,16.69
312,Buchanan,LR,5.88,78.38,100,64,5.61
313,Hvide Sande,DK,56.01,45.66,87,8,5.82
314,Kapaa,US,22.08,68.36,73,40,6.29
315,Klaksvik,FO,62.23,44.6,70,12,9.17
316,Pontes e Lacerda,BR,-15.23,72.98,91,36,4.05
317,Albany,US,42.65,26.49,42,40,2.26
318,San Rafael,AR,-34.61,42.02,57,0,3.83
319,Rikitea,PF,-23.12,76.22,100,32,16.69
320,Punta Arenas,CL,-53.16,48.09,76,75,20.8
321,Pevek,RU,69.7,8.9,85,48,2.59
322,Digby,CA,44.62,28.96,62,0,21.0
323,Bluff,AU,-23.58,80.45,41,44,10.65
324,Jamestown,AU,-33.21,81.98,23,56,13.67
325,Rikitea,PF,-23.12,76.22,100,32,16.69
326,Adrar,DZ,27.87,60.8,77,0,9.17
327,Hermanus,ZA,-34.42,62.78,86,0,4.38
328,Rio Gallegos,AR,-51.62,46.4,70,90,17.22
329,Ribas do Rio Pardo,BR,-20.45,72.53,90,0,8.19
330,Vaini,IN,15.34,95.93,32,0,6.4
331,Ostrovnoy,RU,68.05,29.33,96,20,6.96
332,Kapaa,US,22.08,68.36,73,40,6.29
333,Mashpee,US,41.65,32.54,39,1,4.7
334,Avarua,CK,-21.21,71.6,88,68,2.24
335,Nanortalik,GL,60.14,30.86,92,92,46.44
336,Jamestown,AU,-33.21,81.98,23,56,13.67
337,Saint-Philippe,CA,45.36,22.55,53,1,4.7
338,Cape Town,ZA,-33.93,63.52,63,20,16.11
339,Mar del Plata,AR,-46.43,53.27,68,24,17.36
340,Nome,US,30.04,69.39,94,90,3.36
341,Ushuaia,AR,-54.81,37.4,100,75,12.75
342,Souillac,FR,45.6,46.65,56,0,11.41
343,Cidreira,BR,-30.17,71.45,98,100,13.78
344,Hasaki,JP,35.73,66.85,34,20,26.4
345,Port Elizabeth,US,39.31,46.98,42,75,11.41
346,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
347,Hobart,AU,-42.88,65.64,55,75,10.29
348,Thap Than,TH,15.46,92.51,49,12,4.16
349,Klaksvik,FO,62.23,44.6,70,12,9.17
350,Leningradskiy,RU,69.38,1.7,69,0,3.6
351,Buala,SB,-8.15,84.23,84,92,6.96
352,Kapaa,US,22.08,68.36,73,40,6.29
353,Albany,US,42.65,26.49,42,40,2.26
354,Derzhavinsk,KZ,51.1,49.04,97,32,9.42
355,Vaini,IN,15.34,95.93,32,0,6.4
356,Cherskiy,RU,68.75,7.64,68,32,3.15
357,Punta Arenas,CL,-53.16,48.09,76,75,20.8
358,Qaanaaq,GL,77.48,0.44,71,24,7.63
359,Rocha,UY,-34.48,59.84,89,44,15.79
360,Georgetown,GY,6.8,77.39,73,24,6.17
361,Punta Arenas,CL,-53.16,48.09,76,75,20.8
362,Rikitea,PF,-23.12,76.22,100,32,16.69
363,Port Blair,IN,11.67,85.58,100,8,3.15
364,Shu,KZ,43.6,71.9,29,80,13.0
365,Tazovskiy,RU,67.47,32.48,95,88,16.24
366,Butaritari,KI,3.07,84.41,98,92,13.78
367,Chokurdakh,RU,70.62,11.24,77,24,2.71
368,Provideniya,RU,64.42,20.87,96,0,17.36
369,Aljezur,PT,37.31,49.01,88,20,21.5
370,Vaini,IN,15.34,95.93,32,0,6.4
371,Weinfelden,CH,47.57,37.62,86,90,2.24
372,Barrow,AR,-38.31,51.92,74,0,8.3
373,Severo-Kurilsk,RU,50.68,33.02,96,92,9.86
374,Koson,UZ,39.04,78.8,47,0,9.17
375,Voh,NC,-20.95,79.82,95,0,18.48
376,Thompson,CA,55.74,8.6,92,5,5.82
377,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
378,Punta Arenas,CL,-53.16,48.09,76,75,20.8
379,Fortuna,ES,38.18,55.17,81,0,1.12
380,Punta Arenas,CL,-53.16,48.09,76,75,20.8
381,Bredasdorp,ZA,-34.53,60.33,87,68,3.36
382,Punta Arenas,CL,-53.16,48.09,76,75,20.8
383,Opuwo,NA,-18.06,84.77,33,0,3.38
384,Mar del Plata,AR,-46.43,53.27,68,24,17.36
385,Thompson,CA,55.74,8.6,92,5,5.82
386,Nikolskoye,RU,59.7,47.97,45,0,4.47
387,Rikitea,PF,-23.12,76.22,100,32,16.69
388,Iwanai,JP,42.97,38.24,100,88,23.06
389,Mandalgovi,MN,45.76,50.03,63,88,7.4
390,Chunhuhub,MX,19.59,75.59,80,0,4.5
391,Concordia,AR,-31.4,60.01,75,12,8.01
392,Rikitea,PF,-23.12,76.22,100,32,16.69
393,Cape Town,ZA,-33.93,63.52,63,20,16.11
394,Kruisfontein,ZA,-34.0,61.46,92,44,5.39
395,Mataura,NZ,-46.19,46.0,77,8,4.72
396,Nigde,TR,37.97,50.21,63,32,3.27
397,Yellowknife,CA,62.45,1.47,70,5,8.05
398,Rikitea,PF,-23.12,76.22,100,32,16.69
399,Esperance,TT,10.24,74.79,83,20,6.29
400,Tiksi,RU,71.64,30.14,68,8,3.15
401,Victoria,BN,5.28,87.44,70,75,5.82
402,Cape Town,ZA,-33.93,63.52,63,20,16.11
403,Albany,US,42.65,26.49,42,40,2.26
404,Talnakh,RU,69.49,22.22,89,64,15.57
405,Quba,AZ,41.36,53.27,89,8,4.27
406,Kodiak,US,39.95,45.18,93,40,5.82
407,Qaanaaq,GL,77.48,0.44,71,24,7.63
408,Salalah,OM,17.01,86.0,62,40,6.93
409,Saint-Philippe,CA,45.36,22.55,53,1,4.7
410,Ponta do Sol,BR,-20.63,65.06,90,56,3.15
411,Port-Gentil,GA,-0.72,75.2,94,20,5.82
412,Kapaa,US,22.08,68.36,73,40,6.29
413,Suntar,RU,62.16,39.95,44,36,2.37
414,Avarua,CK,-21.21,71.6,88,68,2.24
415,Rikitea,PF,-23.12,76.22,100,32,16.69
416,Pangnirtung,CA,66.15,12.2,72,90,14.99
417,Hermanus,ZA,-34.42,62.78,86,0,4.38
418,Hasaki,JP,35.73,66.85,34,20,26.4
419,Punta Arenas,CL,-53.16,48.09,76,75,20.8
420,Port Alfred,ZA,-33.59,62.01,96,88,1.01
421,Akdepe,TM,42.05,54.48,54,0,11.41
422,Hilo,US,19.71,68.77,78,90,3.36
423,Port Augusta,AU,-32.49,92.5,14,44,18.34
424,Punta Arenas,CL,-53.16,48.09,76,75,20.8
425,Punta Arenas,CL,-53.16,48.09,76,75,20.8
426,Bulgan,MN,48.81,34.28,48,24,6.29
427,Albany,US,42.65,26.49,42,40,2.26
428,Hermanus,ZA,-34.42,62.78,86,0,4.38
429,Busselton,AU,-33.64,70.3,24,0,7.96
430,Talnakh,RU,69.49,22.22,89,64,15.57
431,Blythe,US,33.61,65.16,48,1,8.05
432,Amazar,RU,53.86,32.48,50,80,4.5
433,Thompson,CA,55.74,8.6,92,5,5.82
434,Barrow,AR,-38.31,51.92,74,0,8.3
435,Wangaratta,AU,-36.36,76.69,36,40,12.75
436,Cherskiy,RU,68.75,7.64,68,32,3.15
437,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
438,Hermanus,ZA,-34.42,62.78,86,0,4.38
439,Dikson,RU,73.51,20.24,100,44,8.86
440,Mangulile,HN,15.04,61.82,95,36,1.59
441,Sri Aman,MY,1.24,93.2,59,75,3.36
442,Bethel,US,60.79,27.95,68,1,16.11
443,Punta Arenas,CL,-53.16,48.09,76,75,20.8
444,Atuona,PF,-9.8,83.33,96,92,15.68
445,Hilo,US,19.71,68.77,78,90,3.36
446,Bluff,AU,-23.58,80.45,41,44,10.65
447,Ilulissat,GL,69.22,26.6,45,20,19.46
448,Ushuaia,AR,-54.81,37.4,100,75,12.75
449,Kapaa,US,22.08,68.36,73,40,6.29
450,Punta Arenas,CL,-53.16,48.09,76,75,20.8
451,Cabo San Lucas,MX,22.89,66.27,92,32,5.01
452,Llangefni,GB,53.26,42.04,75,88,10.29
