,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
453,Koutiala,ML,12.39,89.36,30,12,10.87
454,Albany,US,42.65,26.49,42,40,2.26
455,Butaritari,KI,3.07,84.41,98,92,13.78
456,Kodiak,US,39.95,45.18,93,40,5.82
457,Rikitea,PF,-23.12,76.22,100,32,16.69
458,Atuona,PF,-9.8,83.33,96,92,15.68
459,Antalaha,MG,-14.9,84.32,85,48,7.52
460,Hobart,AU,-42.88,65.64,55,75,10.29
461,Quatre Cocos,MU,-20.21,84.61,74,75,11.41
462,Jalu,LY,29.03,76.22,41,80,10.2
463,Mar del Plata,AR,-46.43,53.27,68,24,17.36
464,Kodinsk,RU,58.6,36.08,57,88,7.74
465,Roald,NO,62.58,40.98,81,0,5.82
466,Ouango,CD,4.31,88.46,64,0,3.15
467,Ventspils,LV,57.39,44.6,52,0,4.7
468,Ushuaia,AR,-54.81,37.4,100,75,12.75
469,Saint-Louis,CH,47.59,36.7,93,75,4.7
470,Ixtapa,MX,20.71,73.69,88,75,1.92
471,Cape Town,ZA,-33.93,63.52,63,20,16.11
472,San Cristobal,EC,-0.39,51.6,93,75,2.24
473,East London,ZA,-33.02,60.8,100,90,11.41
474,Bluff,AU,-23.58,80.45,41,44,10.65
475,Vaini,IN,15.34,95.93,32,0,6.4
476,Portland,US,45.52,49.77,87,90,11.41
477,Bethel,US,60.79,27.95,68,1,16.11
478,Hermanus,ZA,-34.42,62.78,86,0,4.38
479,Wamba,CD,2.14,87.11,68,0,3.04
480,Port Elizabeth,US,39.31,46.98,42,75,11.41
481,Norden,DE,53.59,42.91,93,90,3.36
482,Sao Filipe,CV,14.9,70.28,97,12,16.58
483,Ushuaia,AR,-54.81,37.4,100,75,12.75
484,Airai,TL,-8.93,80.09,56,20,2.59
485,Punta Arenas,CL,-53.16,48.09,76,75,20.8
486,Pangkalanbuun,ID,-2.68,83.96,90,48,1.7
487,Hambantota,LK,6.12,91.4,59,75,8.05
488,Rikitea,PF,-23.12,76.22,100,32,16.69
489,Narsaq,GL,60.91,35.6,34,88,51.67
490,Okha,RU,53.59,29.69,89,0,13.89
491,Lompoc,US,34.64,49.17,87,90,3.83
492,Ostrovnoy,RU,68.05,29.33,96,20,6.96
493,Geraldton,CA,49.72,26.6,68,75,12.75
494,Mataura,NZ,-46.19,46.0,77,8,4.72
495,Ushuaia,AR,-54.81,37.4,100,75,12.75
496,Castro,CL,-42.48,44.6,100,90,3.36
497,Vaini,IN,15.34,95.93,32,0,6.4
498,George,NG,6.63,77.0,94,20,3.36
499,Albany,US,42.65,26.49,42,40,2.26
500,Albany,US,42.65,26.49,42,40,2.26
501,Muravlenko,RU,63.79,36.98,92,8,17.58
502,Albany,US,42.65,26.49,42,40,2.26
503,Butaritari,KI,3.07,84.41,98,92,13.78
504,Khatanga,RU,71.98,21.32,91,68,12.21
505,Yablonovo,RU,50.85,41.0,60,0,4.47
506,Ust-Ilimsk,RU,57.96,33.56,41,0,4.05
507,Jamestown,AU,-33.21,81.98,23,56,13.67
508,Hobart,AU,-42.88,65.64,55,75,10.29
509,Bethel,US,60.79,27.95,68,1,16.11
510,Wanaka,NZ,-44.7,28.43,94,12,2.15
511,Rikitea,PF,-23.12,76.22,100,32,16.69
512,Dzilam Gonzalez,MX,21.28,75.68,79,0,6.29
513,Rikitea,PF,-23.12,76.22,100,32,16.69
514,Jamestown,AU,-33.21,81.98,23,56,13.67
515,Ushuaia,AR,-54.81,37.4,100,75,12.75
516,Albany,US,42.65,26.49,42,40,2.26
517,Rikitea,PF,-23.12,76.22,100,32,16.69
518,Blagoyevo,RU,63.37,41.84,57,48,3.71
519,Kapaa,US,22.08,68.36,73,40,6.29
520,Hobart,AU,-42.88,65.64,55,75,10.29
521,Ponta do Sol,BR,-20.63,65.06,90,56,3.15
522,Ribeira Grande,PT,38.52,55.4,58,75,6.93
523,Antofagasta,CL,-23.65,62.6,88,75,5.82
524,Kununurra,AU,-15.77,100.4,33,40,14.99
525,Sinnamary,GF,5.38,78.83,100,80,10.54
526,Busselton,AU,-33.64,70.3,24,0,7.96
527,Bluff,AU,-23.58,80.45,41,44,10.65
528,Noumea,NC,-22.28,77.0,65,20,14.99
529,Carauari,BR,-4.88,75.32,94,76,0.69
530,Albany,US,42.65,26.49,42,40,2.26
531,Barrow,AR,-38.31,51.92,74,0,8.3
532,Grindavik,IS,63.84,34.65,100,75,5.82
533,Banjar,ID,-7.37,80.09,80,76,3.38
534,Port Alfred,ZA,-33.59,62.01,96,88,1.01
535,Lagoa,PT,37.14,49.66,81,40,13.87
536,Corner Brook,CA,48.95,26.02,79,90,23.04
537,Chubbuck,US,42.93,46.13,87,90,6.93
538,Cabo San Lucas,MX,22.89,66.27,92,32,5.01
539,Garden City,US,40.73,38.35,32,1,9.17
540,Kapaa,US,22.08,68.36,73,40,6.29
541,Port Alfred,ZA,-33.59,62.01,96,88,1.01
542,Kaitangata,NZ,-46.28,46.0,67,8,5.99
543,Kauhajoki,FI,62.43,33.22,83,90,5.82
544,Bluff,AU,-23.58,80.45,41,44,10.65
545,Mataura,NZ,-46.19,46.0,77,8,4.72
546,Codrington,AU,-28.95,70.95,73,90,3.94
547,Laguna,MX,27.52,58.58,82,8,2.37
548,Upernavik,GL,72.79,8.27,100,36,3.49
549,Komsomolskiy,RU,67.55,24.83,94,80,26.87
550,Carnarvon,ZA,-30.97,62.18,48,0,14.34
551,Lasa,CY,34.92,65.19,68,20,2.24
552,Rikitea,PF,-23.12,76.22,100,32,16.69
553,Cape Town,ZA,-33.93,63.52,63,20,16.11
554,Oistins,BB,13.07,77.0,73,40,20.8
555,Cape Town,ZA,-33.93,63.52,63,20,16.11
556,New Norfolk,AU,-42.78,65.64,55,75,10.29
557,Marawi,PH,8.0,82.0,78,76,5.01
558,Katsuura,JP,33.93,65.77,63,75,9.17
559,Vila Velha,BR,-3.71,75.4,88,75,4.7
560,Rikitea,PF,-23.12,76.22,100,32,16.69
561,Ribeira Grande,PT,38.52,55.4,58,75,6.93
562,Georgetown,GY,6.8,77.39,73,24,6.17
563,Yulara,AU,-25.24,95.0,10,0,9.17
564,Esperance,TT,10.24,74.79,83,20,6.29
565,Hermanus,ZA,-34.42,62.78,86,0,4.38
566,Isangel,VU,-19.55,75.14,100,92,9.42
567,Grindavik,IS,63.84,34.65,100,75,5.82
568,Faanui,PF,-16.48,84.77,100,64,11.43
569,Bosaso,SO,11.28,91.4,29,0,25.28
570,Hobart,AU,-42.88,65.64,55,75,10.29
571,Cape Town,ZA,-33.93,63.52,63,20,16.11
572,Provideniya,RU,64.42,20.87,96,0,17.36
573,Hilo,US,19.71,68.77,78,90,3.36
574,Yatou,CM,3.63,77.0,100,75,6.73
575,Bluff,AU,-23.58,80.45,41,44,10.65
576,Haines Junction,CA,60.75,17.99,87,80,2.15
577,Rocha,UY,-34.48,59.84,89,44,15.79
578,Mehamn,NO,71.03,30.2,68,40,18.34
579,Arraial do Cabo,BR,-22.97,77.39,93,0,18.25
580,Baghdad,IQ,33.3,71.36,61,68,17.36
581,Nelson Bay,AU,-32.72,70.83,78,40,9.17
582,Gimli,CA,50.63,34.95,99,68,3.0
583,Saint-Philippe,CA,45.36,22.55,53,1,4.7
584,Pochutla,MX,15.74,78.01,79,32,8.19
585,Vaini,IN,15.34,95.93,32,0,6.4
586,Kwinana,AU,-32.25,74.17,46,0,17.22
587,Praia,BR,-20.25,69.8,88,0,4.7
588,Salinopolis,BR,-0.61,79.01,100,92,5.39
589,New Norfolk,AU,-42.78,65.64,55,75,10.29
590,Rikitea,PF,-23.12,76.22,100,32,16.69
591,Grafton,AU,-29.69,69.64,60,76,6.93
592,Ushuaia,AR,-54.81,37.4,100,75,12.75
593,Derbent,RU,42.06,52.64,77,0,3.6
594,Arraial do Cabo,BR,-22.97,77.39,93,0,18.25
595,Gamba,CN,28.28,31.13,80,20,1.81
596,Nanortalik,GL,60.14,30.86,92,92,46.44
597,Grand Gaube,MU,-20.01,84.56,74,75,11.41
598,Longyearbyen,NO,78.22,26.6,79,75,26.4
599,Kenai,US,60.55,33.51,74,90,18.34
600,Saint-Philippe,CA,45.36,22.55,53,1,4.7
601,Busselton,AU,-33.64,70.3,24,0,7.96
602,Thunder Bay,CA,48.41,30.43,86,90,5.82
603,Hambantota,LK,6.12,91.4,59,75,8.05
604,Cape Town,ZA,-33.93,63.52,63,20,16.11
605,Tasiilaq,GL,65.61,23.0,73,44,5.82
606,Taihe,CN,26.8,69.29,79,0,3.6
607,Ushuaia,AR,-54.81,37.4,100,75,12.75
608,Ushuaia,AR,-54.81,37.4,100,75,12.75
609,Kokopo,PG,-4.34,80.18,100,12,3.71
610,Atuona,PF,-9.8,83.33,96,92,15.68
611,Thompson,CA,55.74,8.6,92,5,5.82
612,Cape Town,ZA,-33.93,63.52,63,20,16.11
613,Hermanus,ZA,-34.42,62.78,86,0,4.38
614,Kapaa,US,22.08,68.36,73,40,6.29
615,Avarua,CK,-21.21,71.6,88,68,2.24
616,Mataura,NZ,-46.19,46.0,77,8,4.72
617,Fabiansebestyen,HU,46.68,56.5,41,0,11.41
618,Hermanus,ZA,-34.42,62.78,86,0,4.38
619,Ushuaia,AR,-54.81,37.4,100,75,12.75
620,Rikitea,PF,-23.12,76.22,100,32,16.69
621,Hermanus,ZA,-34.42,62.78,86,0,4.38
622,Yellowknife,CA,62.45,1.47,70,5,8.05
623,Oum Hadjer,TD,13.3,97.55,15,0,12.21
624,Mataura,NZ,-46.19,46.0,77,8,4.72
625,Jamestown,AU,-33.21,81.98,23,56,13.67
626,San Patricio,PY,-26.98,64.79,99,92,8.75
627,Yatou,CM,3.63,77.0,100,75,6.73
628,Yellowknife,CA,62.45,1.47,70,5,8.05
629,Leningradskiy,RU,69.38,1.7,69,0,3.6
630,New Norfolk,AU,-42.78,65.64,55,75,10.29
631,Katobu,ID,-4.94,85.58,86,36,4.72
632,Airai,TL,-8.93,80.09,56,20,2.59
633,Tuktoyaktuk,CA,69.44,1.61,90,36,3.94
634,Estevan,CA,49.14,36.9,100,90,5.82
635,Hithadhoo,MV,-0.6,84.41,100,0,5.39
636,Castro,CL,-42.48,44.6,100,90,3.36
637,Carnduff,CA,49.17,39.0,93,0,7.0
638,Bluff,AU,-23.58,80.45,41,44,10.65
639,Horta,ES,41.43,49.77,75,75,15.9
640,Hearst,CA,49.69,22.04,59,32,7.29
641,Chuy,UY,-33.69,65.96,89,20,26.08
642,Atar,MR,20.52,65.42,48,12,6.17
643,Atuona,PF,-9.8,83.33,96,92,15.68
644,Hermanus,ZA,-34.42,62.78,86,0,4.38
645,Nogliki,RU,51.8,31.94,91,80,15.46
646,Hilo,US,19.71,68.77,78,90,3.36
647,Punta Arenas,CL,-53.16,48.09,76,75,20.8
648,Leningradskiy,RU,69.38,1.7,69,0,3.6
649,Bealanana,MG,-14.54,79.73,72,20,1.36
650,San Policarpo,PH,12.18,80.36,92,80,8.75
651,Kawalu,ID,-7.38,74.6,85,92,2.71
652,Mar del Plata,AR,-46.43,53.27,68,24,17.36
653,Hermanus,ZA,-34.42,62.78,86,0,4.38
654,Port Hardy,CA,50.7,50.0,71,90,17.22
655,Castro,CL,-42.48,44.6,100,90,3.36
656,Vaini,IN,15.34,95.93,32,0,6.4
657,Bluff,AU,-23.58,80.45,41,44,10.65
658,Avarua,CK,-21.21,71.6,88,68,2.24
659,Victoria,BN,5.28,87.44,70,75,5.82
660,Punta Arenas,CL,-53.16,48.09,76,75,20.8
661,Puro,PH,13.13,84.41,63,8,5.73
662,Hermanus,ZA,-34.42,62.78,86,0,4.38
663,Magnolia,US,33.27,56.66,87,90,2.71
664,Georgetown,GY,6.8,77.39,73,24,6.17
665,Albany,US,42.65,26.49,42,40,2.26
666,Hermanus,ZA,-34.42,62.78,86,0,4.38
667,San Cristobal,EC,-0.39,51.6,93,75,2.24
668,Port Alfred,ZA,-33.59,62.01,96,88,1.01
669,Bluff,AU,-23.58,80.45,41,44,10.65
670,Ballina,IE,54.11,39.52,100,75,11.41
671,New Norfolk,AU,-42.78,65.64,55,75,10.29
672,Moerai,PF,-22.43,78.2,100,0,1.92
673,Sorong,ID,-0.86,84.5,96,88,3.83
674,Port Alfred,ZA,-33.59,62.01,96,88,1.01
675,Zharkent,KZ,44.17,47.87,73,48,2.71
676,Atuona,PF,-9.8,83.33,96,92,15.68
677,Chapais,CA,49.78,-5.81,83,1,2.24
678,Upernavik,GL,72.79,8.27,100,36,3.49
679,Narva-Joesuu,EE,59.46,48.41,55,8,3.27
680,Rikitea,PF,-23.12,76.22,100,32,16.69
681,New Norfolk,AU,-42.78,65.64,55,75,10.29
682,Castro,CL,-42.48,44.6,100,90,3.36
683,Tamiahua,MX,21.28,73.61,97,32,0.92
684,Luwingu,ZM,-10.26,75.59,65,92,6.29
685,Butaritari,KI,3.07,84.41,98,92,13.78
686,Albany,US,42.65,26.49,42,40,2.26
687,Aksu,KZ,52.04,50.0,81,90,15.66
688,Kota Belud,MY,6.35,89.6,70,75,8.05
689,Ushuaia,AR,-54.81,37.4,100,75,12.75
690,Mataura,NZ,-46.19,46.0,77,8,4.72
691,Qaanaaq,GL,77.48,0.44,71,24,7.63
692,Mataura,NZ,-46.19,46.0,77,8,4.72
693,Cherskiy,RU,68.75,7.64,68,32,3.15
694,Tiksi,RU,71.64,30.14,68,8,3.15
695,Mount Gambier,AU,-37.83,86.0,27,90,21.92
696,Jamestown,AU,-33.21,81.98,23,56,13.67
697,Cotonou,BJ,6.37,78.8,88,20,3.36
698,Hermanus,ZA,-34.42,62.78,86,0,4.38
699,Ushuaia,AR,-54.81,37.4,100,75,12.75
700,Hobart,AU,-42.88,65.64,55,75,10.29
701,Padang,ID,-0.92,89.6,66,20,8.05
702,Roald,NO,62.58,40.98,81,0,5.82
703,Zabid,YE,14.2,72.62,42,76,4.16
704,Rikitea,PF,-23.12,76.22,100,32,16.69
705,East London,ZA,-33.02,60.8,100,90,11.41
706,Toora-Khem,RU,52.47,37.16,50,76,3.15
707,Butaritari,KI,3.07,84.41,98,92,13.78
708,Upernavik,GL,72.79,8.27,100,36,3.49
709,Busselton,AU,-33.64,70.3,24,0,7.96
710,Salalah,OM,17.01,86.0,62,40,6.93
711,Laguna,MX,27.52,58.58,82,8,2.37
712,Barrow,AR,-38.31,51.92,74,0,8.3
713,Mecca,SA,21.43,93.41,36,8,9.19
714,Carnarvon,ZA,-30.97,62.18,48,0,14.34
715,Beloha,MG,-25.17,93.77,40,0,4.38
716,Mataura,NZ,-46.19,46.0,77,8,4.72
717,Sungairaya,ID,0.7,87.29,70,12,4.72
718,Thompson,CA,55.74,8.6,92,5,5.82
719,Punta Arenas,CL,-53.16,48.09,76,75,20.8
720,Ushuaia,AR,-54.81,37.4,100,75,12.75
721,Kieta,PG,-6.22,80.54,96,80,3.83
722,Albany,US,42.65,26.49,42,40,2.26
723,Qaanaaq,GL,77.48,0.44,71,24,7.63
724,Kingsville,US,39.45,49.68,57,40,4.7
725,Ponta do Sol,BR,-20.63,65.06,90,56,3.15
726,San Luis,AR,-33.3,45.35,63,0,4.16
727,Busselton,AU,-33.64,70.3,24,0,7.96
728,Fortuna,ES,38.18,55.17,81,0,1.12
729,Antunez,MX,29.04,61.45,51,5,3.15
730,Veinticinco de Mayo,AR,-27.38,69.02,97,100,3.71
731,Cape Town,ZA,-33.93,63.52,63,20,16.11
732,Bozeman,US,45.68,41.07,80,90,5.82
733,Punta Arenas,CL,-53.16,48.09,76,75,20.8
734,Rikitea,PF,-23.12,76.22,100,32,16.69
735,Punta Arenas,CL,-53.16,48.09,76,75,20.8
736,Ust-Omchug,RU,61.13,22.76,84,0,3.6
737,Longyearbyen,NO,78.22,26.6,79,75,26.4
738,Punta Arenas,CL,-53.16,48.09,76,75,20.8
739,Westport,IE,53.8,39.51,100,75,11.41
740,Deputatskiy,RU,69.3,18.44,75,56,3.04
741,Barsovo,RU,61.17,42.8,41,0,13.42
742,Babushkin,RU,51.72,30.5,59,36,7.96
743,Port Alfred,ZA,-33.59,62.01,96,88,1.01
744,Vaini,IN,15.34,95.93,32,0,6.4
745,Dikson,RU,73.51,20.24,100,44,8.86
746,La Tuque,CA,47.44,10.07,66,0,4.61
747,Castro,CL,-42.48,44.6,100,90,3.36
748,Porto Walter,BR,-8.27,76.85,90,56,1.7
749,Mezen,RU,65.85,34.19,71,12,6.17
750,Fortuna,ES,38.18,55.17,81,0,1.12
751,Hilo,US,19.71,68.77,78,90,3.36
752,Batticaloa,LK,7.71,89.63,77,20,9.19
753,Selenginsk,RU,52.01,35.6,27,75,17.9
754,Norman Wells,CA,65.28,-4.01,76,5,2.24
755,Luderitz,NA,-26.65,64.88,84,0,19.26
756,Tasiilaq,GL,65.61,23.0,73,44,5.82
757,Uaua,BR,-9.84,70.64,94,88,4.5
758,Sibut,CF,5.73,92.6,49,0,8.3
759,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
760,Cidreira,BR,-30.17,71.45,98,100,13.78
761,Sur,OM,22.57,85.85,70,56,3.94
762,Ajdabiya,LY,30.75,78.38,35,88,11.21
763,Casambalangan,PH,18.38,81.53,98,36,9.98
764,Hongjiang,CN,27.21,69.11,71,0,3.15
765,Butaritari,KI,3.07,84.41,98,92,13.78
766,Hobart,AU,-42.88,65.64,55,75,10.29
767,Ushuaia,AR,-54.81,37.4,100,75,12.75
768,Mahebourg,MU,-20.41,84.65,74,75,11.41
769,Cap-aux-Meules,CA,47.38,30.05,95,88,38.72
770,Cabo San Lucas,MX,22.89,66.27,92,32,5.01
771,Ilulissat,GL,69.22,26.6,45,20,19.46
772,Tura,IN,25.52,80.72,67,80,4.61
773,Hermanus,ZA,-34.42,62.78,86,0,4.38
774,Ambon,FR,47.55,44.58,100,92,10.29
775,Punta Arenas,CL,-53.16,48.09,76,75,20.8
776,Nelson Bay,AU,-32.72,70.83,78,40,9.17
777,Atuona,PF,-9.8,83.33,96,92,15.68
778,Hobart,AU,-42.88,65.64,55,75,10.29
779,Simpang,MY,4.82,91.99,59,75,3.36
780,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
781,Upernavik,GL,72.79,8.27,100,36,3.49
782,Gewane,ET,10.16,92.51,39,24,3.94
783,Matveyevka,UA,45.75,51.74,81,0,8.41
784,Faanui,PF,-16.48,84.77,100,64,11.43
785,Kalmunai,LK,7.42,92.06,54,48,6.62
786,Estreito,BR,-22.44,76.75,94,20,3.36
787,Barrow,AR,-38.31,51.92,74,0,8.3
788,Rikitea,PF,-23.12,76.22,100,32,16.69
789,Tuktoyaktuk,CA,69.44,1.61,90,36,3.94
790,Mataura,NZ,-46.19,46.0,77,8,4.72
791,Mar del Plata,AR,-46.43,53.27,68,24,17.36
792,Ushuaia,AR,-54.81,37.4,100,75,12.75
793,Ushuaia,AR,-54.81,37.4,100,75,12.75
794,Tilichiki,RU,60.47,30.77,87,24,5.28
795,Ust-Ishim,RU,57.69,44.63,68,0,3.38
796,New Norfolk,AU,-42.78,65.64,55,75,10.29
797,Barrow,AR,-38.31,51.92,74,0,8.3
798,Saldanha,PT,41.42,42.2,79,48,7.4
799,Ribeira Brava,PT,32.65,55.54,54,20,4.7
800,Kodiak,US,39.95,45.18,93,40,5.82
801,Punta Arenas,CL,-53.16,48.09,76,75,20.8
802,Punta Arenas,CL,-53.16,48.09,76,75,20.8
803,Rikitea,PF,-23.12,76.22,100,32,16.69
804,Kaitangata,NZ,-46.28,46.0,67,8,5.99
805,Barrow,AR,-38.31,51.92,74,0,8.3
806,Jamestown,AU,-33.21,81.98,23,56,13.67
807,Talnakh,RU,69.49,22.22,89,64,15.57
808,Khao Yoi,TH,13.24,96.44,66,20,14.99
809,Hualmay,PE,-11.1,62.09,94,36,1.59
810,Faya,SA,18.39,68.94,60,40,16.11
811,Port Alfred,ZA,-33.59,62.01,96,88,1.01
812,Freeport,BS,26.54,75.86,97,32,16.02
813,Moshi,TZ,-3.36,81.26,63,8,6.73
814,Ushuaia,AR,-54.81,37.4,100,75,12.75
815,Tasiilaq,GL,65.61,23.0,73,44,5.82
816,Barra do Garcas,BR,-15.89,71.27,94,44,3.04
817,Killarney,AU,-28.34,61.0,75,0,7.0
818,Ushuaia,AR,-54.81,37.4,100,75,12.75
819,Grindsted,DK,55.76,46.98,81,12,9.17
820,Avarua,CK,-21.21,71.6,88,68,2.24
821,Santa Cruz,US,36.97,52.36,87,75,1.92
822,Saint-Philippe,CA,45.36,22.55,53,1,4.7
823,Vaini,IN,15.34,95.93,32,0,6.4
824,Flinders,AU,-34.58,66.85,68,90,5.82
825,Port Alfred,ZA,-33.59,62.01,96,88,1.01
826,Carutapera,BR,-1.2,75.95,99,100,1.59
827,Tuktoyaktuk,CA,69.44,1.61,90,36,3.94
828,Sidney,US,47.72,40.26,74,1,3.15
829,Busselton,AU,-33.64,70.3,24,0,7.96
830,Atuona,PF,-9.8,83.33,96,92,15.68
831,Hermanus,ZA,-34.42,62.78,86,0,4.38
832,Bonavista,CA,48.65,28.99,73,64,20.0
833,Aykhal,RU,65.95,25.01,73,80,3.94
834,Saint George,GR,39.45,54.32,76,40,5.82
835,Ketchikan,US,55.34,45.82,93,90,12.75
836,Baturaja,ID,-4.12,82.25,77,92,10.42
837,Bluff,AU,-23.58,80.45,41,44,10.65
838,New Norfolk,AU,-42.78,65.64,55,75,10.29
839,Avarua,CK,-21.21,71.6,88,68,2.24
840,Hofn,IS,64.25,36.62,100,0,11.54
841,Atuona,PF,-9.8,83.33,96,92,15.68
842,Aksu,KZ,52.04,50.0,81,90,15.66
843,Dawson Creek,CA,55.76,25.56,73,90,4.7
844,Saskylakh,RU,71.97,18.62,83,20,7.18
845,Jamestown,AU,-33.21,81.98,23,56,13.67
846,Busselton,AU,-33.64,70.3,24,0,7.96
847,Tuktoyaktuk,CA,69.44,1.61,90,36,3.94
848,Jamestown,AU,-33.21,81.98,23,56,13.67
849,Dikson,RU,73.51,20.24,100,44,8.86
850,Busselton,AU,-33.64,70.3,24,0,7.96
851,Cherskiy,RU,68.75,7.64,68,32,3.15
852,Yellowknife,CA,62.45,1.47,70,5,8.05
853,Ahipara,NZ,-35.17,58.49,100,44,5.73
854,Samarai,PG,-10.62,79.91,100,88,11.43
855,Thiers,FR,45.86,38.19,55,0,4.7
856,Te Anau,NZ,-45.41,32.93,85,12,2.37
857,Qaanaaq,GL,77.48,0.44,71,24,7.63
858,Vaini,IN,15.34,95.93,32,0,6.4
859,Cherskiy,RU,68.75,7.64,68,32,3.15
860,Bitung,ID,1.44,87.8,66,40,9.17
861,Jamestown,AU,-33.21,81.98,23,56,13.67
862,Mecca,SA,21.43,93.41,36,8,9.19
863,Hobart,AU,-42.88,65.64,55,75,10.29
864,Ushuaia,AR,-54.81,37.4,100,75,12.75
865,Hermanus,ZA,-34.42,62.78,86,0,4.38
866,Port Elizabeth,US,39.31,46.98,42,75,11.41
867,Puerto Ayora,EC,-0.74,76.76,100,48,4.94
868,Upernavik,GL,72.79,8.27,100,36,3.49
869,Albany,US,42.65,26.49,42,40,2.26
870,Lorengau,PG,-2.02,81.44,100,92,5.17
871,Hamilton,CA,43.26,32.88,80,90,13.87
872,Lavrentiya,RU,65.58,13.76,74,0,9.42
873,Banda Aceh,ID,5.56,86.39,73,64,3.71
874,Dikson,RU,73.51,20.24,100,44,8.86
875,Camacari,BR,-12.7,80.6,83,75,4.7
876,Kodiak,US,39.95,45.18,93,40,5.82
877,Olinda,EC,-2.03,77.0,88,75,8.05
878,Busselton,AU,-33.64,70.3,24,0,7.96
879,Pevek,RU,69.7,8.9,85,48,2.59
880,Padampur,IN,29.71,99.53,36,80,4.38
881,Almaznyy,RU,48.03,48.2,78,0,4.47
882,Hermanus,ZA,-34.42,62.78,86,0,4.38
883,Khatanga,RU,71.98,21.32,91,68,12.21
884,Presidencia Roque Saenz Pena,AR,-26.79,60.83,73,68,18.03
885,Butaritari,KI,3.07,84.41,98,92,13.78
886,East London,ZA,-33.02,60.8,100,90,11.41
887,New Norfolk,AU,-42.78,65.64,55,75,10.29
888,Albany,US,42.65,26.49,42,40,2.26
889,Gwadar,PK,25.12,94.76,45,48,8.08
890,San Policarpo,PH,12.18,80.36,92,80,8.75
891,Nikolskoye,RU,59.7,47.97,45,0,4.47
892,Kapaa,US,22.08,68.36,73,40,6.29
893,Usak,TR,38.67,53.69,62,20,3.36
894,Barrow,AR,-38.31,51.92,74,0,8.3
895,Mataura,NZ,-46.19,46.0,77,8,4.72
896,Port Lincoln,AU,-34.72,65.69,86,0,18.25
897,Tasiilaq,GL,65.61,23.0,73,44,5.82
898,Busselton,AU,-33.64,70.3,24,0,7.96
899,Georgetown,GY,6.8,77.39,73,24,6.17
900,Zyryanka,RU,65.73,22.13,88,12,4.05
901,Bredasdorp,ZA,-34.53,60.33,87,68,3.36
902,Busselton,AU,-33.64,70.3,24,0,7.96
903,Saint George,GR,39.45,54.32,76,40,5.82
904,Storforshei,NO,66.4,30.43,84,0,13.87
905,Rikitea,PF,-23.12,76.22,100,32,16.69
